Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Adam Fulat,M,SBD,Raw,31.5,24-34,24-39,MR-O,92.9,93,-285,-290,290,,290,187.5,195,-200,,195,302.5,320,-330,,320,805,5,512.45,505.95,484.27,105.37,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Rani Gupta,F,SBD,Raw,,24-34,24-39,FR-O,56,57,95,102.5,105,,105,55,60,-62.5,,60,127.5,137.5,-142.5,,137.5,302.5,23,350.63,355.92,314.83,71.92,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Emma Williams #1,F,SBD,Raw,26.5,24-34,24-39,FR-O,68.5,69,145,155,160,,160,72.5,77.5,80,,80,150,160,165,,165,405,13,414.61,409.05,360.74,84.25,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jack I'Anson,M,SBD,Raw,,,,MR-O,99.7,105,257.5,272.5,285,,285,137.5,145,150,,150,250,272.5,280,,280,715,29,440.67,435.67,416.13,90.45,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Patrick Burgess,M,SBD,Raw,23.5,24-34,24-39,MR-O,82.1,83,247.5,262.5,-272.5,,262.5,-142.5,145,150,,150,265,280,290,,290,702.5,6,477.18,471.99,454.24,97.78,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Mahin Zafar,M,SBD,Raw,24.5,24-34,24-39,MR-G,107.7,120,272.5,290,305,,305,160,167.5,175,,175,275,295,307.5,,307.5,787.5,G,470.19,466.55,445.67,96.09,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Yaron Bernstein,M,SBD,Raw,26,24-34,24-39,MR-O,75.8,83,202.5,215,222.5,,222.5,150,157.5,160,,160,235,247.5,-250,,247.5,630,18,448.94,445.64,430.40,91.35,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Krishan Mistry,M,SBD,Raw,25.5,24-34,24-39,MR-O,72.4,74,230,245,255,,255,152.5,160,167.5,,167.5,267.5,285,-290,,285,707.5,2,519.40,516.99,500.29,105.06,Yes,England,SE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Probir Debnath,M,SBD,Raw,,,,MR-O,64.7,66,197.5,210,-215,,210,117.5,122.5,127.5,,127.5,200,210,-215,,210,547.5,11,435.42,437.06,425.11,86.25,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Natasha Brooks,F,SBD,Raw,,,,FR-O,83.5,84,175,182.5,190,,190,85,90,-92.5,,90,185,200,-212.5,,200,480,4,442.93,429.32,375.49,90.86,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ruth Grigg,F,SBD,Raw,,,,FR-O,51.4,52,135,142.5,-147.5,,142.5,-90,90,95,,95,137.5,145,152.5,,152.5,390,1,479.24,490.56,435.04,99.47,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Natasha Eaton,F,SBD,Raw,32,24-34,24-39,FR-O,75,76,155,167.5,175,,175,80,87.5,-90,,87.5,162.5,175,182.5,,182.5,445,8,433.42,423.04,372.12,88.29,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Kibria Ali,M,SBD,Raw,29,24-34,24-39,MR-O,66,66,225,232.5,237.5,,237.5,120,122.5,125,,125,262.5,280,288.5,,288.5,651,1,510.08,511.16,496.70,101.48,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Nicholas Hwong,M,SBD,Raw,23,20-23,19-23,MR-O,92.6,93,227.5,245,255,,255,152.5,162.5,167.5,,167.5,245,265,282.5,,282.5,705,27,449.49,443.78,424.82,92.42,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
